# WISE W3 and W4 synthesis photometry flux from the Spitzer/IRS spectra
# objname     tag        f_{W3, tot}    f_{W4, tot}    f_{W3, AGN}   f_{W4, AGN}
altas-212      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-310      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-572      1      8.1610012      6.5164995      8.1610012      6.5164995
altas-598      1      7.2599998      4.5935311      7.3427997      4.6496387
altas-603      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-605      1      9.9040003      7.6576920      9.9040003      7.6576920
altas-606      1     10.4989996      8.4156713     10.4989996      8.4156713
altas-607      1     10.2539988      8.0345764     10.2539988      8.0345764
altas-608      1     10.3549986      7.7028241     10.3549986      7.7028241
altas-609      1     10.4519968      8.5272589     10.4519968      8.5272589
altas-610      1     10.3219986      8.2211094     10.3219986      8.2211094
altas-611      1      8.7659998      5.9157090      8.7659998      5.9157090
altas-614      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-617      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-618      0      0.0000000      0.0000000      0.0000000      0.0000000
altas-36      1      7.9529996      5.9589376      8.6594543      7.4673152
altas-58      1      6.1159997      3.1729128      6.1599364      3.1971967
altas-81      1      4.4180002      0.8514238      4.5572319      0.9050050
altas-247      1     10.2550058      7.0008368     10.2550058      7.0008368
altas-268      1      8.0139999      4.5981236      8.1821404      4.6544294
altas-278      1      7.0260000      4.0861177      7.0260000      4.0861177
altas-442      1      5.1789999      1.9904251      5.3432837      2.0750930
altas-511      1      5.9089999      3.7679768      9.0994110           -NaN
cassis-26329600-0      1      9.0299768      7.1917958      9.0299768      7.1917958
cassis-25387776-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-25391104-0      1     10.8621759      8.9187603     10.8621759      8.9187603
cassis-17726464-0      1     10.5202246      8.9077301     11.9032574           -NaN
cassis-10493696-0      1      9.4960222      7.1949754      9.4960222      7.1949754
cassis-25389568-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-26702848-0      1      8.6383591      6.3662663      8.6383591      6.3662663
cassis-25387264-0      1      9.7111807      7.5627403      9.7111807      7.5627403
cassis-25388800-0      1     10.2537031      8.1569567     10.2537031      8.1569567
cassis-4733952-0      1      8.7396555      6.8596048      8.7396555      6.8596048
cassis-4738816-0      1      6.4609804      4.2821465      6.4609804      4.2821465
cassis-21768960-0      1      8.7039518      6.7951937      8.7039518      6.7951937
cassis-24169984-0      1      9.3834467      6.9068484      9.3834467      6.9068484
cassis-4732160-0      1      7.7982445      5.6386104      7.7982445      5.6386104
cassis-15083008-0      1      8.5592060      6.4136691      8.5592060      6.4136691
cassis-24158208-3      1      9.8122883      7.5006499      9.8122883      7.5006499
cassis-25977344-0      1      9.7446108      8.0656710      9.7446108      8.0656710
cassis-27446272-0      1     11.0865364      8.9865007     11.0865364      8.9865007
cassis-26919936-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-25977088-0      1      9.3348274      7.5024600      9.3348274      7.5024600
cassis-26328576-0      1      7.9277554      5.6041121      7.9277554      5.6041121
cassis-25977856-0      1      9.5341702      7.4791727      9.5341702      7.4791727
cassis-27450368-0      1     10.4611053      8.5317669     10.4611053      8.5317669
cassis-26335488-0      1      9.1267548      6.8097172      9.1267548      6.8097172
cassis-26332672-0      1      8.1632776      6.2065125      8.1632776      6.2065125
cassis-24153344-3      1      9.8951874      7.7122722      9.8951874      7.7122722
cassis-24143104-3      1     10.0686617      7.8972363     10.0686617      7.8972363
cassis-24143104-4      1     10.2770348      8.0632849     10.2770348      8.0632849
cassis-25390848-0      1      9.7442226      7.8740296      9.7442226      7.8740296
cassis-25390592-0      1     10.5718546      8.7268362     10.5718546      8.7268362
